10/08/22 21:11--> ---ЗАПУСК БОТА---
10/08/22 21:12--> ---ЗАПУСК БОТА---
10/08/22 21:12--> ---ЗАПУСК БОТА---
10/08/22 21:13--> Нажата кнопка: "Справка"
10/08/22 21:13--> Вызвана справка
10/08/22 21:14--> Вызвана справка
10/08/22 21:15--> Вызвана справка
10/08/22 21:15--> Нет аргументов для /mult
10/08/22 21:16--> Нажата кнопка: "Сумма"
10/08/22 21:16--> 2 + 5 = 7
10/08/22 21:17--> Я не понял, что от меня хотят( - umnichka_vano: Разность
10/08/22 21:17--> Я не понял, что от меня хотят( - umnichka_vano: Edfygvb
10/08/22 21:17--> Я не понял, что от меня хотят( - umnichka_vano: Hvvbc
10/08/22 21:17--> Нет аргументов для /div
10/08/22 21:17--> Я не понял, что от меня хотят( - umnichka_vano: Hvvcc
10/08/22 21:17--> Я не понял, что от меня хотят( - umnichka_vano: Gcvhv
10/08/22 21:29--> ---ЗАПУСК БОТА---
10/08/22 21:29--> Я не понял, что от меня хотят( - umnichka_vano: Сумма
10/08/22 21:29--> Вызвана справка
10/08/22 21:29--> Нет аргументов для /sum
10/08/22 21:33--> ---ЗАПУСК БОТА---
10/08/22 21:33--> Вызвана справка
10/08/22 21:33--> Я не понял, что от меня хотят( - umnichka_vano: Сумма
10/08/22 21:34--> ---ЗАПУСК БОТА---
10/08/22 21:34--> Вызвана справка
10/08/22 21:34--> Нет аргументов для /sum
10/08/22 21:34--> Нет аргументов для /sum
10/08/22 21:34--> 333 + 777 = 1110
10/08/22 21:37--> Нет аргументов для /div
10/08/22 21:37--> 65 / 5 = 13
10/08/22 21:41--> ---ЗАПУСК БОТА---
10/08/22 21:41--> Вызвана справка
